NEG+1p+PRES+kuweza	we are not able	hatuwezi
2s+PRES+kuchanganya	you mix	unachanganya
1p+PRES+kuchanganya	we mix	tunachanganya
2s+IMP+kuchemsha	boil	chemsha
1s+PRES+kuchemsha	I boil	ninachemsha
2s+IMP+kukata	cut	kata
1p+FUT+kurekebisha	we will repair	tutarekebisha
1s+PAST+kupoteza	I lost	nilipoteza
1s+PRES+kutafuta	I look for	ninatafuta
NEG+1s+PRES+kujua	I do not know	sijui
2s+PRES+kujua	you know	unajua
1s+PRES+kukumbuka	I remember	ninakumbuka
2s+IMP+kukumbuka	remember	kumbuka
1s+PAST+kukumbuka	I remembered	nilikumbuka
1s+PERF+kusahau	I have forgotten	nimesahau
NEG+1s+PRES+kusahau	I do not forget	sisahau
1s+FUT+kuuliza	I will ask	nitauliza
1p+PRES+kujifunza	we learn	tunajifunza
1p+PERF+kujifunza	we have learned	tumejifunza
2s+PERF+kukosea	you have been wrong	umekosea
1s+PERF+kukosea	I have been wrong	nimekosea
1s+PAST+kufikiri	I thought	nilifikiri
2s+PRES+kufikiri	you think	unafikiri
2s+PRES+kupenda	you love	unapenda
NEG+1s+PRES+kupenda	I do not love	sipendi
2s+PERF+kushiba	you have been full	umeshiba
1s+PERF+kushiba	I have been full	nimeshiba
2s+PERF+kuchoka	you have tired	umechoka
1s+PRES+kupendelea	I prefer	ninapendelea
1s+PRES+kuogopa	I fear	ninaogopa
3p+PRES+kuogopa	they fear	wanaogopa
1s+PERF+kuzoea	I have been used to	nimezoea
NEG+1s+PERF+kuzoea	I have not been used to	sijazoea
2s+PERF+kuzoea	you have been used to	umezoea
1s+PRES+kuchukia	I hate	ninachukia
2s+PRES+kusikiliza	you listen	unasikiliza
NEG+1s+PAST+kusikiliza	I did not listen	sikusikiliza
2s+PRES+kusikia	you hear	unasikia
1s+PAST+kusikia	I heard	nilisikia
2s+IMP+kuangalia	look	angalia
2s+IMP+kusubiri	wait	subiri
1s+PAST+kusubiri	I waited	nilisubiri
2s+IMP+kusimama	stop	simama
2s+PERF+kuamka	you have awakened	umeamka
3s+PERF+kulala	(s)he has slept	amelala
2s+IMP+kulala	sleep	lala
1p+PRES+kuagiza	we order	tunaagiza
1s+PRES+kutumaini	I hope	ninatumaini
3p+PRES+kutumaini	they hope	wanatumaini
2s+PRES+kutegemea	you plan	unategemea
1p+PRES+kutegemea	we plan	tunategemea
1p+FUT+kuchelewa	we will be late	tutachelewa
1s+PRES+kutazama	I watch	ninatazama
1s+PAST+kuwaza	I thought	niliwaza
1s+PRES+kujaribu	I try	ninajaribu
1p+PRES+kugombana	we argue	tunagombana
3p+PRES+kugombana	they argue	wanagombana
1p+FUT+kucheza	we will play	tutacheza
2s+PRES+kukubali	you agree	unakubali
3s+PRES+kukubali	(s)he agrees	anakubali
NEG+1s+PRES+kukubali	I do not agree	sikubali
2s+IMP+kuendelea	continue	endelea
1p+FUT+kuendelea	we will continue	tutaendelea
2s+IMP+kuvaa	wear	vaa
1s+PERF+kuvaa	I have worn	nimevaa
3p+PERF+kuvaa	they have worn	wamevaa
2s+IMP+kuonja	taste	onja
2s+PRES+kusali	you pray	unasali
NEG+2s+PRES+kuhitaji	you do not need	huhitaji
1s+PAST+kutambua	I realized	nilitambua
1p+PAST+kuamua	we decided	tuliamua
3s+PAST+kuamua	(s)he decided	aliamua
1s+PAST+kuamua	I decided	niliamua
1p+FUT+kushiriki	we will share	tutashiriki
1p+FUT+kugawana	we will share	tutagawana
2s+IMP+kuimba	sing	imba
2p+IMP+kucheka	laugh	chekeni
2s+PRES+kucheka	you laugh	unacheka
2p+PRES+kucheza	ye play	mnacheza
2s+PERF+kufurahi	you have been happy	umefurahi
1p+PAST+kufurahi	we were happy	tulifurahi
2s+PERF+kukasirika	you have been angry	umekasirika
2s+IMP+kuvuka	cross	vuka
1s+PRES+kuumwa	I am sick	ninaumwa
3s+PRES+kuumwa	(s)he is sick	anaumwa
3s+PAST+kumaliza	(s)he finished	alimaliza
2s+PERF+kumaliza	you have finished	umemaliza
1p+FUT+kumaliza	we will finish	tutamaliza
2s+PRES+kufanana	you resemble	unafanana
2s+PRES+kujitahidi	you improve	unajitahidi
2s+PERF+kubadilishana	you have exchanged	umebadilishana
1s+PAST+kuua	I killed	niliua
3p+PRES+kuendesha	they drive	wanaendesha
3p+PRES+kupanga	they plan	wanapanga
1p+PRES+kupanga	we plan	tunapanga
2s+PRES+kuweza	you are able	unaweza
3p+PRES+kujenga	they build	wanajenga
1s+PAST+kushtuka	I was shocked	nilishtuka
3s+PRES+kupendeza	(s)he looks great	anapendeza
2s+PERF+kupendeza	you have looked great	umependeza
3s+PAST+kukulia	(s)he grew up	alikulia
3p+FUT+kutembelea	they will visit	watatembelea
1s+PRES+kutembelea	I visit	ninatembelea
3p+FUT+kufunga	they will close	watafunga
3s+PRES+kulia	(s)he cries	analia
3p+FUT+kuiba	they will steal	wataiba
NEG+1s+PRES+kuamini	I do not believe	siamini
1s+PRES+kustahili	I am required	ninastahili
1s+FUT+kufikiria	I will think about	nitafikiria
3s+PERF+kunenepa	(s)he has put on weight	amenenepa
1s+PERF+kukonda	I have lost weight	nimekonda
1s+PAST+kuacha	I left	niliacha
1s+PRES+kukaribia	I approach	ninakaribia
1p+PRES+kukaribia	we approach	tunakaribia
3s+PRES+kukaribia	(s)he approaches	anakaribia
1s+PAST+kuanguka	I fell	nilianguka
NEG+3p+PRES+kuruhusu	they do not allow	hawaruhusu
1p+PAST+kukodishwa	we rented	tulikodishwa
2s+PRES+kuitwa	you are named	unaitwa
3p+PAST+kufariki	they died	walifariki
2s+PRES+kujali	you care	unajali
3s+PRES+kusomea	(s)he studies	anasomea
3p+PRES+kusomea	they study	wanasomea
1s+PRES+kutamani	I wish	ninatamani
